agency,business_title,posting_salary_range_from,posting_salary_range_to,posting_date,posting_until,posting_duration,actual_base_salary,actual_pay_basis,actual_regular_gross_paid,actual_total_ot_paid,actual_total_other_pay,actual_total_income_paid,match_ratio
DEPT OF HEALTH/MENTAL HYGIENE,"IPM Shelter Coordinator,  Bureau of Veterinary and Pest Control Services.",72918,83856,2025-02-03T00:00:00.000000,2026-02-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,27.71,2025-03-10T00:00:00.000000,2026-03-10T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,Deputy Director of Project & Operational Excellence,125000,140000,2025-08-07T00:00:00.000000,2025-09-06T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
HRA/DEPT OF SOCIAL SERVICES,QUALITY ASSURANCE ANALYST,64137,73758,2024-11-27T00:00:00.000000,2024-12-27T00:00:00.000000,30,78501.00,per Annum,83094.37,45491.61,5782.90,134368.88,92.10526315789474
DEPT OF ENVIRONMENT PROTECTION,Policy Analyst,38333,60000,2023-02-02T00:00:00.000000,2023-03-04T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Clinic Nurse, Bureau of Public Health Clinics",94826,94826,2024-11-09T00:00:00.000000,2025-11-09T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Clerical Associate IV,43728,68645,2024-08-14T00:00:00.000000,2024-09-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,K-12 Educator,59116,91768,2023-12-18T00:00:00.000000,2024-01-17T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
FIRE DEPARTMENT,SUPERVISING BLASTING INSPECTOR,60468,92699,2025-06-10T00:00:00.000000,2025-07-10T00:00:00.000000,30,89999.00,per Annum,92810.81,82842.55,5668.19,181321.55,100.0
TAXI & LIMOUSINE COMMISSION,TLC Officer - Safety and Emissions,51389,51389,2025-02-26T00:00:00.000000,2025-03-28T00:00:00.000000,30,25.78,per Hour,39514.28,37.54,1850.72,41402.54,87.09677419354838
ADMIN FOR CHILDREN'S SVCS,Child Protective Specialist Supervisor,86096,104372,2022-06-30T00:00:00.000000,2022-07-30T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DISTRICT ATTORNEY-MANHATTAN,Investigative Analyst,55150,58508,2025-06-27T00:00:00.000000,2025-07-27T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Water Systems Analyst, Bureau of Environmental Sciences and Engineering",84981,97728,2024-10-17T00:00:00.000000,2025-10-17T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,81571,119554,2024-01-02T00:00:00.000000,2024-02-01T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,27.71,2025-05-28T00:00:00.000000,2026-05-28T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,CONFIDENTIAL INVESTIGATOR - L1,50775,72813,2025-08-07T00:00:00.000000,2025-09-06T00:00:00.000000,30,86849.00,per Annum,80098.33,11387.28,3784.21,95269.82,100.0
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,60443,167413,2025-03-13T00:00:00.000000,2025-04-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,81571,119554,2024-01-02T00:00:00.000000,2024-02-01T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,HEADCOUNT & BUDGET ANALYST,70611,81203,2022-08-10T00:00:00.000000,2022-09-09T00:00:00.000000,30,78501.00,per Annum,83094.37,45491.61,5782.90,134368.88,92.10526315789474
DEPT OF ENVIRONMENT PROTECTION,Environmental Engineering Intern,68709,68709,2025-07-10T00:00:00.000000,2025-08-09T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DISTRICT ATTORNEY-MANHATTAN,Body-Worn Camera Manager,90000,90000,2025-02-07T00:00:00.000000,2025-03-09T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
HUMAN RIGHTS COMMISSION,Legal Administrative Assistant,45040,65000,2025-04-22T00:00:00.000000,2025-05-22T00:00:00.000000,30,197991.00,per Annum,165841.16,0.00,3000.00,168841.16,85.18518518518519
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor,  Bureau of Hepatitis, HIV, and STI",53074,61035,2025-02-11T00:00:00.000000,2026-02-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HOUSING PRESERVATION & DVLPMNT,Building Evaluator,62868,72298,2025-06-26T00:00:00.000000,2025-08-15T00:00:00.000000,50,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF HEALTH/MENTAL HYGIENE,Revenue Analyst,79473,91394,2025-08-04T00:00:00.000000,2026-08-04T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,Community Associate,43143,71800,2025-01-15T00:00:00.000000,2025-02-14T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DISTRICT ATTORNEY-MANHATTAN,Reentry Specialist,64000,64000,2025-03-20T00:00:00.000000,2025-04-19T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
HOUSING PRESERVATION & DVLPMNT,NYC 15/15 Project Manager for the Division of Program Policy & Innovation,72298,72298,2025-08-11T00:00:00.000000,2025-10-10T00:00:00.000000,60,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
HRA/DEPT OF SOCIAL SERVICES,DEPUTY DIRECTOR,74781,85998,2025-05-06T00:00:00.000000,2025-06-05T00:00:00.000000,30,118369.00,per Annum,124230.16,0.00,3000.00,127230.16,100.0
DEPT OF ENVIRONMENT PROTECTION,Assistant Counsel,89613,132293,2024-10-15T00:00:00.000000,2024-11-14T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Child Care Investigator, Bureau of Childcare",57490,70381,2025-05-07T00:00:00.000000,2026-05-07T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,Trial Preparation Assistant Level II - Civil Litigation Bureau,53045,53045,2025-04-28T00:00:00.000000,2025-10-27T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Co-Response Team Supervisor, Bureau of Health Promotion for Justice-Impacted Populations",82192,105743,2025-07-23T00:00:00.000000,2026-07-23T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,Housing Team Coordinator,58695,89699,2024-01-09T00:00:00.000000,2024-02-08T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DISTRICT ATTORNEY-MANHATTAN,Community Outreach Coordinator,59410,63582,2025-06-13T00:00:00.000000,2025-07-13T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPARTMENT OF CORRECTION,Facility Operations Specialist,75370,86675,2025-06-25T00:00:00.000000,2025-07-25T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPT OF ENVIRONMENT PROTECTION,Civil Engineering Intern,56181,68034,2023-08-13T00:00:00.000000,2023-09-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,PRINCIPAL ADMINISTRATIVE ASSOCIATE,66062,75971,2025-06-30T00:00:00.000000,2025-07-30T00:00:00.000000,30,59588.00,per Annum,60486.47,3550.70,3260.94,67298.11,100.0
NYC HOUSING AUTHORITY,COMMUNITY ASSOCIATE,44545,70000,2025-08-06T00:00:00.000000,2025-08-16T00:00:00.000000,10,53692.00,per Annum,41793.57,0.00,0.00,41793.57,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Health Contracts, Office of the Agency Chief Contracting Officer",73419,108000,2025-06-24T00:00:00.000000,2026-06-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,Community Planner,60889,94521,2025-05-21T00:00:00.000000,2025-06-20T00:00:00.000000,30,145859.00,per Annum,151735.09,0.00,3000.00,154735.09,88.57142857142857
DEPT OF HEALTH/MENTAL HYGIENE,"IT Product Manager, Bureau of Enterprise Technology Business Solutions",86101,94244,2024-09-03T00:00:00.000000,2025-09-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,"Homicide Bureau: Trial Preparation Assistant, Level II",53045,53045,2025-08-07T00:00:00.000000,2025-09-06T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,Asset Reliability Specialist,66330,99528,2025-07-31T00:00:00.000000,2025-08-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
OFFICE OF EMERGENCY MANAGEMENT,"DEPUTY DIRECTOR, EMPLOYEE RELATIONS AND COMPLIANCE",94203,101101,2025-07-18T00:00:00.000000,2025-08-17T00:00:00.000000,30,190962.00,per Annum,181183.97,0.00,3000.00,184183.97,85.05747126436782
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Manager, Strategic Initiatives",62868,91467,2025-06-18T00:00:00.000000,2025-10-16T00:00:00.000000,120,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Food Safety and Community Sanitation (BFSCS)",53132,53132,2025-07-30T00:00:00.000000,2026-07-30T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Energy Portfolio Manager,53702,115000,2022-08-01T00:00:00.000000,2022-08-31T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,PORTFOLIO MANAGER,94050,242675,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Violence Prevention Initiatives",95070,114000,2024-08-26T00:00:00.000000,2025-08-26T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,76262,110444,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,Forensic Mortuary Technician I,47069,54129,2025-02-20T00:00:00.000000,2025-03-22T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,EXECUTIVE DIRECTOR. QUALITY ASSURANCE,140000,168095,2025-05-01T00:00:00.000000,2025-05-31T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
ADMIN FOR CHILDREN'S SVCS,Attorney Interne,70228,85269,2025-06-17T00:00:00.000000,2025-08-16T00:00:00.000000,60,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPARTMENT OF TRANSPORTATION,Stationary Engineer,572.56,572.56,2024-10-16T00:00:00.000000,2024-11-15T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,"Section Chief, EHS Audits & Assessments",92301,121296,2024-05-30T00:00:00.000000,2024-06-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HOUSING PRESERVATION & DVLPMNT,Housing Quality Enforcement Specialist for the Division of Budget & Program Operations,51227,51227,2025-07-21T00:00:00.000000,2025-09-19T00:00:00.000000,60,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPARTMENT OF TRANSPORTATION,Community Coordinator,59116,91768,2024-01-19T00:00:00.000000,2024-02-18T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DISTRICT ATTORNEY-MANHATTAN,Legal Hiring Coordinator,54956,63507,2025-06-18T00:00:00.000000,2025-07-18T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
NYC HOUSING AUTHORITY,Construction Field Inspector,84000,90000,2025-06-12T00:00:00.000000,2025-07-12T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF HEALTH/MENTAL HYGIENE,"Pharmacist, Bureau of Public Health Clinics",129354,136000,2025-05-01T00:00:00.000000,2025-10-31T00:00:00.000000,183,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,Trial Division-Trial Preparation Assistant LV II,53045,53045,2025-04-10T00:00:00.000000,2025-05-10T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,Borough Manager,74645,111234,2025-05-29T00:00:00.000000,2025-06-28T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,Yard Crew Marine Oiler,60244,73400,2025-07-30T00:00:00.000000,2025-08-13T00:00:00.000000,14,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,78721,209971,2024-04-29T00:00:00.000000,2024-05-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF YOUTH & COMM DEV SRVS,ASSOCIATE CONTRACT SPECIALIST,65775,99115,2025-04-07T00:00:00.000000,2025-05-07T00:00:00.000000,30,77910.00,per Annum,73679.27,0.00,43.25,73722.52,100.0
DEPT OF ENVIRONMENT PROTECTION,Section Chief of BEDC/NYPA Coordination,73068,195261,2025-03-21T00:00:00.000000,2025-04-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,IN-HOUSE EHS OFFICER,60443,167413,2025-03-28T00:00:00.000000,2025-04-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,27.71,2024-12-26T00:00:00.000000,2025-12-26T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF CORRECTION,OTPS Budget Analyst,79473,91394,2025-07-18T00:00:00.000000,2025-08-17T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPT OF HEALTH/MENTAL HYGIENE,"Citywide Assistance Team Coordinator,  Bureau of Mental Health",77211,88793,2025-06-25T00:00:00.000000,2026-06-25T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,101423,137501,2024-12-23T00:00:00.000000,2025-01-22T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,Deputy Chief Engineer - SW,78740,114033,2025-07-04T00:00:00.000000,2025-08-22T00:00:00.000000,49,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF TRANSPORTATION,Traffic Control Inspector,52538,74234,2025-08-04T00:00:00.000000,2025-09-03T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
BRONX DISTRICT ATTORNEY,Application Developer,115000,130000,2025-03-24T00:00:00.000000,2025-09-22T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPARTMENT OF SANITATION,College Aides,17,21.4,2025-06-30T00:00:00.000000,2025-07-30T00:00:00.000000,30,522.32,per Day,150800.86,287.01,8680.53,159768.4,88.88888888888889
DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst, Bureau of Mental Health",84981,97728,2025-02-11T00:00:00.000000,2026-02-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Chief of Bikes and Micromobility,58682,159671,2024-03-15T00:00:00.000000,2024-04-14T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Bureau of Environmental Sciences and Engineering",108918,130000,2025-05-08T00:00:00.000000,2026-05-08T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health  Advisor, Bureau of Public Health Clinics",44003,51500,2025-01-03T00:00:00.000000,2026-01-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
OFFICE OF CRIMINAL JUSTICE,"Deputy Executive Director, Research Innovation",68213,140000,2025-07-22T00:00:00.000000,2025-08-21T00:00:00.000000,30,260042.00,per Annum,213062.77,0.00,3000.00,216062.77,85.24590163934427
DEPARTMENT OF TRANSPORTATION,"ACE â Overhead Sign Structures, D&C",66330,99528,2025-06-21T00:00:00.000000,2025-08-31T00:00:00.000000,71,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
NYC HOUSING AUTHORITY,Housing Assistant,42723,69243,2025-08-06T00:00:00.000000,2025-08-26T00:00:00.000000,20,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
HRA/DEPT OF SOCIAL SERVICES,FIELD OFFICER CAPTAIN,71448,80736,2024-12-20T00:00:00.000000,2025-01-19T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPARTMENT OF TRANSPORTATION,BOB- Administrative Engineer (NM),60443,164461,2025-06-20T00:00:00.000000,2025-07-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Food Safety and Community Sanitation (BFSCS)",51460,51460,2025-05-08T00:00:00.000000,2026-05-08T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,Senior Network Engineer,75000,150000,2025-07-23T00:00:00.000000,2025-08-12T00:00:00.000000,20,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
HRA/DEPT OF SOCIAL SERVICES,DEPUTY DIRECTOR,74781,85998,2025-05-06T00:00:00.000000,2025-06-05T00:00:00.000000,30,118369.00,per Annum,124230.16,0.00,3000.00,127230.16,100.0
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,98470,137501,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Policy and Planning Analyst, Bureau of Community Awareness, Action, Response & Engagement",74536,74536,2025-06-18T00:00:00.000000,2026-06-18T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,SENIOR CLERK,40957,66353,2025-05-19T00:00:00.000000,2025-06-18T00:00:00.000000,30,92389.00,per Annum,89216.55,0.00,0.00,89216.55,91.89189189189189
HRA/DEPT OF SOCIAL SERVICES,CA PERT SR CASE REVIEWER,58695,67499,2023-11-20T00:00:00.000000,2023-12-20T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,Child Care Inspection Supervisor,68023,78266,2025-04-14T00:00:00.000000,2025-08-12T00:00:00.000000,120,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Communications and External Affairs Liaison, Bureau of Public Health Clinics",34.4105,39.572,2025-07-28T00:00:00.000000,2026-02-23T00:00:00.000000,210,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,CARETAKER X (HA),36006,50569,2025-07-30T00:00:00.000000,2025-08-19T00:00:00.000000,20,36006.00,per Annum,32868.40,16692.07,5778.47,55338.94,100.0
HRA/DEPT OF SOCIAL SERVICES,AGENCY ATTORNEY INTERNE,68183,82785,2024-04-05T00:00:00.000000,2024-05-05T00:00:00.000000,30,82137.00,per Annum,3797.07,0.00,192.62,3989.69,100.0
HRA/DEPT OF SOCIAL SERVICES,ADVENT JOB CENTER LIAISON,53057,77124,2023-08-03T00:00:00.000000,2023-09-02T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
HOUSING PRESERVATION & DVLPMNT,Construction Monitoring Project Manager for the Division of Portfolio Management & Conversions,77500,77500,2025-07-03T00:00:00.000000,2025-10-01T00:00:00.000000,90,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
NYC HOUSING AUTHORITY,CARETAKER X (HA),36006,50569,2025-08-11T00:00:00.000000,2025-08-31T00:00:00.000000,20,36006.00,per Annum,32868.40,16692.07,5778.47,55338.94,100.0
DEPARTMENT OF TRANSPORTATION,"Deputy Director, Low and Zero Emission Vehicle Programs",84981,106654,2024-12-12T00:00:00.000000,2025-01-11T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Special Assistant to the CFO,94715,115000,2022-09-16T00:00:00.000000,2022-10-16T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Training & Outreach, Bureau of Tuberculosis Control",108918,125256,2024-10-31T00:00:00.000000,2025-10-31T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Oiler,538,538,2024-10-26T00:00:00.000000,2024-11-25T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
HOUSING PRESERVATION & DVLPMNT,"Junior Attorney, Compliance & Enforcement",95450,95450,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
BRONX DISTRICT ATTORNEY,Trial Preparation Assistant  LV 2- Discovery Compliance Bureau,51500,51500,2023-10-17T00:00:00.000000,2026-04-04T00:00:00.000000,900,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
